name,mid_lat,mid_lng,crime_rate_normalised,lighting_score,crime_source
Belford Road,55.951407,-3.22106,0.1,0.7455,neighbourhood
Belgrave Crescent,55.953782,-3.217538,0.1,0.7,neighbourhood
Belgrave Crescent Lane,55.954442,-3.21772,0.1,0.55,neighbourhood
Belgrave Mews,55.954299,-3.220613,0.1,0.55,neighbourhood
Belgrave Place,55.954228,-3.219691,0.1,0.7,neighbourhood
Bell Place,55.961815,-3.206626,0.12,0.6761,neighbourhood
Bell Place Footbridge,55.962358,-3.20654,0.12,0.45,neighbourhood
Bell's Brae,55.952339,-3.21436,0.1,0.7,neighbourhood
Bell's Mills,55.950399,-3.222805,0.1,0.55,neighbourhood
Bell's Wynd,55.949538,-3.188629,0.75,0.4652,neighbourhood
Belleville Court,55.935129,-3.178758,0.2,0.5335,neighbourhood
Bellevue,55.960758,-3.193122,0.3,0.85,neighbourhood
Bellevue Crescent,55.960454,-3.193275,0.3,0.7,neighbourhood
Bellevue Gardens,55.963618,-3.189556,0.3,0.7,neighbourhood
Bellevue Grove,55.962025,-3.188923,0.3,0.7,neighbourhood
Bellevue Place,55.960924,-3.191149,0.3,0.7,neighbourhood
Bellevue Road,55.963033,-3.188656,0.3,0.7,neighbourhood
Bellevue Street,55.96234,-3.190469,0.3,0.7,neighbourhood
Bellevue Terrace,55.961529,-3.194017,0.3,0.7,neighbourhood
Bernard Terrace,55.941206,-3.179576,0.25,0.8,neighbourhood
Bethlehem Way,55.963839,-3.160353,0.45,0.7,neighbourhood
Bishop's Close,55.950318,-3.186787,0.75,0.5,neighbourhood
Bishop's Walk,55.948381,-3.215428,0.35,0.55,neighbourhood
Blacket Avenue,55.936397,-3.173681,0.2,0.7,neighbourhood
Blacket Place,55.93656,-3.173961,0.2,0.7,neighbourhood
Blackford Avenue,55.930608,-3.189701,0.15,0.8,neighbourhood
Blackford Road,55.93231,-3.196462,0.2,0.7,neighbourhood
Blackfriars Street,55.949653,-3.185911,0.75,0.6,neighbourhood
